valor_original,novo_valor
02ª Turma Recursal Cível,Juizado Especial Cível
02ª Turma Recursal Criminal,Juizado Especial Cível
02ª UJ - 3º JD CÍVEL ,Vara Cível
02ª UJ - 6º JD CÍVEL ,Vara Cível
02ª Unidade Jurisdicional ,Vara Cível
02ª Unidade Jurisdicional - 04º JD ,Vara Cível
02ª Unidade Jurisdicional - 4º JD ,Vara Cível
02ª Unidade Jurisdicional Cível ,Vara Cível
02ª Unidade Jurisdicional Cível - 3º JD ,Vara Cível
02ª Unidade Jurisdicional Cível - 4º JD ,Vara Cível
02ª Unidade Jurisdicional Cível - 5º JD ,Vara Cível
02ª Unidade Jurisdicional Cível - 6º JD ,Vara Cível
02ª Unidade Jurisdicional Única - 4º JD ,Vara Cível
02ª Vara,Vara Cível
02ª Vara Cível,Vara Cível
02ª Vara Cível ,Vara Cível
02ª Vara Cível - Regional da Ilha do Governador,Vara Cível
02ª Vara Cível - Regional da Lapa,Vara Cível
02ª Vara Cível - Regional de Sarandi,Vara Cível
02ª Vara Cível - Regional de Tatuapé,Vara Cível
02ª Vara Cível e Criminal ,Vara Cível
02ª Vara Cível e Empresarial ,Vara Cível
"02ª Vara Cível, Criminal e de Execuções Criminais ",Vara Cível
02ª Vara do Juizado Especial,Juizado Especial Cível
02ª Vara do Juizado Especial  Cível - Vergueiro ,Juizado Especial Cível
02ª Vara do Juizado Especial Cível,Juizado Especial Cível
02ª Vara do Juizado Especial Cível ,Juizado Especial Cível
02ª Vara do Juizado Especial Cível - Vergueiro ,Juizado Especial Cível
02ª Vara do juizado especial cível e criminal,Juizado Especial Cível
02ª Vara do Sistema dos Juizados ,Juizado Especial Cível
02ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
02ª Vara do Sistema Juizados ,Juizado Especial Cível
02ª Vara do Trabalho,Outros
02ª Vara dos Feitos de Relações de Consumo ,Vara Cível
02ª Vara Genérica ,Vara Cível
02ª Vara Judicial ,Vara Cível
02º Juiz Esp Cível Crim e da Faz Públ ,Juizado Especial Cível
"02º Juizado Esp.l Cível, Cri.l e da Fazenda Públ. ",Juizado Especial Cível
02º Juizado Especial Cível,Juizado Especial Cível
02º Juizado Especial Cível ,Juizado Especial Cível
02º Juizado Especial Cível - Regional da Barra da Tijuca,Juizado Especial Cível
02º Juizado Especial Cível - Regional de Santana,Juizado Especial Cível
02º Juizado Especial Cível - Regional de Santo Amaro,Juizado Especial Cível
02º Juizado Especial Cível e Criminal ,Juizado Especial Cível
02º Juizado Especial Cível e das Rel. de Cons. ,Juizado Especial Cível
02º Juizado Especial Cível e das Relações de Cons. ,Juizado Especial Cível
02º Juizado Especial Cível e Relações de Consumo ,Juizado Especial Cível
03° Juizado Especial Cível ,Juizado Especial Cível
03ª Câmara Cível,Vara Cível
03ª Turma,Juizado Especial Cível
03ª Turma Cível,Juizado Especial Cível
03ª Turma Recursal,Juizado Especial Cível
03ª Turma Recursal Cível,Juizado Especial Cível
03ª Unidade Jurisdicional Cível ,Vara Cível
03ª Unidade Jurisdicional Cível - 8º JD ,Vara Cível
03ª Unidade Jurisdicional Cível - 9º JD ,Vara Cível
03ª Unidade Jurisdicional Cível - Barreiro - 7º JD ,Vara Cível
03ª Vara,Vara Cível
03ª Vara Cível,Vara Cível
03ª Vara Cível ,Vara Cível
03ª Vara Cível - Regional da Barra da Tijuca,Vara Cível
03ª Vara Cível - Regional da Ilha do Governador,Vara Cível
03ª Vara Cível - Regional da Lapa,Vara Cível
03ª Vara Cível - Regional de Jabaquara,Vara Cível
03ª Vara Cível - Regional de Pinheiros,Vara Cível
03ª Vara Cível - Regional de Santana,Vara Cível
03ª Vara Cível - Regional de Tatuapé,Vara Cível
03ª Vara da Fazenda Pública,Outros
03ª Vara da Fazenda Pública ,Outros
03ª Vara do Juizado Especial,Juizado Especial Cível
03ª Vara do Juizado Especial,Juizado Especial Cível
03ª Vara do Juizado Especial Cível,Juizado Especial Cível
03ª Vara do Juizado Especial Civel ,Juizado Especial Cível
03ª Vara do Sistema dos Juizados ,Juizado Especial Cível
03ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
03ª VSJE de Causas Comum (Matutino),Juizado Especial Cível
03º Juizado Esp. Cível Criminal e da Fazenda Púb. ,Juizado Especial Cível
03º Juizado Especial,Juizado Especial Cível
03º Juizado Especial Cível,Juizado Especial Cível
03º Juizado Especial Cível ,Juizado Especial Cível
03º Juizado Especial Cível e das Rel. de Cons. ,Juizado Especial Cível
03º Juizado Especial Cível e Rel. de Consumo ,Juizado Especial Cível
03º Vara Cível ,Vara Cível
04° Juizado Especial Cível ,Juizado Especial Cível
04° Vara Cível ,Vara Cível
04ª Câmara Cível,Vara Cível
04ª Juizado Especial Cível,Juizado Especial Cível
04ª Turma Recursal,Juizado Especial Cível
04ª Unidade Jurisdicional Cível ,Vara Cível
04ª Unidade Jurisdicional Cível - 10º JD ,Vara Cível
04ª Unidade Jurisdicional Cível - 11º JD ,Vara Cível
04ª Unidade Jurisdicional Cível - 12º JD ,Vara Cível
04ª Vara Cível,Vara Cível
04ª Vara Cível,Vara Cível
04ª Vara Cível ,Vara Cível
04ª Vara Cível - Regional da Barra da Tijuca,Vara Cível
04ª Vara Cível - Regional de Itaquera,Vara Cível
04ª Vara Cível - Regional de Pinheiros,Vara Cível
04ª Vara Cível - Regional de Tatuapé,Vara Cível
04ª Vara da Fazenda Pública,Outros
04ª Vara do Juizado Especial Cível,Juizado Especial Cível
04ª Vara do Sistema dos Juizados ,Juizado Especial Cível
04ª Vara Mista ,Vara Cível
04º Juizado Especial Cível ,Juizado Especial Cível
04º Juizado Especial Cível e das Relações de Consumo ,Juizado Especial Cível
"04º Juizado Especial Cível, Cri e da Fazenda Públ ",Juizado Especial Cível
05° Vara Cível ,Vara Cível
05ª Câmara Cível,Vara Cível
05ª Turma Recursal,Juizado Especial Cível
05ª Unidade Jurisdicional Cível - 13º JD ,Vara Cível
05ª Unidade Jurisdicional Cível - 14º JD ,Vara Cível
