situacao_processual,resultado_decisao,novo_situacao_processual+resultado_decisao,situacao_processual_sentenca
CONDENAÇÃO,Parcial,Condenação,CONDENAÇÃOParcial
CONDENAÇÃO,PARCIAL PROCEDÊNCIA,Condenação,CONDENAÇÃOPARCIAL PROCEDÊNCIA
CONDENAÇÃO,PARCIAL PROCEDÊNCIA,Condenação,CONDENAÇÃOPARCIAL PROCEDÊNCIA
CONDENAÇÃO,PARCIALMENTE PROCEDENTE,Condenação,CONDENAÇÃOPARCIALMENTE PROCEDENTE
Condenação,Parcialmente procedente,Condenação,CondenaçãoParcialmente procedente
CONDENAÇÃO,PROCED. PARTE,Condenação,CONDENAÇÃOPROCED. PARTE
CONDENAÇÃO,PROCEDÊNCIA PARCIAL,Condenação,CONDENAÇÃOPROCEDÊNCIA PARCIAL
CONDENAÇÃO,PROCEDENTE,Condenação,CONDENAÇÃOPROCEDENTE
CONDENAÇÃO,Procedente em parte,Condenação,CONDENAÇÃOProcedente em parte
CONDENAÇÃO,Total,Condenação,CONDENAÇÃOTotal
CONDENAÇÃO - ACORDÃO,Acordo durante a audiência,Acordo,CONDENAÇÃO - ACORDÃOAcordo durante a audiência
CONDENAÇÃO - ACORDÃO,Condenação,Condenação,CONDENAÇÃO - ACORDÃOCondenação
CONDENAÇÃO - ACORDÃO,Condenação fixada em acórdão (improcedência reformada),Condenação,CONDENAÇÃO - ACORDÃOCondenação fixada em acórdão (improcedência reformada)
CONDENAÇÃO - ACORDÃO,Condenação majorada em acordão,Condenação,CONDENAÇÃO - ACORDÃOCondenação majorada em acordão
CONDENAÇÃO - ACORDÃO,Condenação mantida em acórdão,Condenação,CONDENAÇÃO - ACORDÃOCondenação mantida em acórdão
CONDENAÇÃO - ACORDÃO,Condenação paga pela Corré,Condenação,CONDENAÇÃO - ACORDÃOCondenação paga pela Corré
CONDENAÇÃO - ACORDÃO,Condenação paga por acordo,Acordo,CONDENAÇÃO - ACORDÃOCondenação paga por acordo
CONDENAÇÃO - ACORDÃO,Condenação reduzida em acordão,Condenação,CONDENAÇÃO - ACORDÃOCondenação reduzida em acordão
CONDENAÇÃO - ACORDÃO,Improcedência mantida em acórdão,Decisão favorável à aérea (improcedência),CONDENAÇÃO - ACORDÃOImprocedência mantida em acórdão
CONDENAÇÃO - ACORDÃO,Improcedente,Decisão favorável à aérea (improcedência),CONDENAÇÃO - ACORDÃOImprocedente
CONDENAÇÃO - ACORDÃO,Parcial,Condenação,CONDENAÇÃO - ACORDÃOParcial
CONDENAÇÃO - ACORDÃO,Procedente em parte,Condenação,CONDENAÇÃO - ACORDÃOProcedente em parte
CONDENAÇÃO - ACORDÃO,Recurso não conhecido,Condenação,CONDENAÇÃO - ACORDÃORecurso não conhecido
CONDENAÇÃO - ACORDÃO,Total,Condenação,CONDENAÇÃO - ACORDÃOTotal
CONDENAÇÃO - ACORDÃO,,Condenação,CONDENAÇÃO - ACORDÃO
CONDENAÇÃO - SENTENÇA,Acordo com terceiro que aproveitou o cliente,Extinção sem julgamento do mérito,CONDENAÇÃO - SENTENÇAAcordo com terceiro que aproveitou o cliente
CONDENAÇÃO - SENTENÇA,Acordo durante a audiência,Acordo,CONDENAÇÃO - SENTENÇAAcordo durante a audiência
CONDENAÇÃO - SENTENÇA,Ausência de pressupostos processuais / condições da ação,Extinção sem julgamento do mérito,CONDENAÇÃO - SENTENÇAAusência de pressupostos processuais / condições da ação
CONDENAÇÃO - SENTENÇA,Ausência injustificada do autor na audiência,Extinção sem julgamento do mérito,CONDENAÇÃO - SENTENÇAAusência injustificada do autor na audiência
CONDENAÇÃO - SENTENÇA,Condenação,Condenação,CONDENAÇÃO - SENTENÇACondenação
CONDENAÇÃO - SENTENÇA,Condenação afastada em acórdão,Decisão favorável à aérea (improcedência),CONDENAÇÃO - SENTENÇACondenação afastada em acórdão
CONDENAÇÃO - SENTENÇA,Condenação fixada em acórdão (improcedência reformada),Condenação,CONDENAÇÃO - SENTENÇACondenação fixada em acórdão (improcedência reformada)
CONDENAÇÃO - SENTENÇA,Condenação majorada em acordão,Condenação,CONDENAÇÃO - SENTENÇACondenação majorada em acordão
CONDENAÇÃO - SENTENÇA,Condenação mantida em acórdão,Condenação,CONDENAÇÃO - SENTENÇACondenação mantida em acórdão
CONDENAÇÃO - SENTENÇA,Condenação paga pela Corré,Condenação,CONDENAÇÃO - SENTENÇACondenação paga pela Corré
CONDENAÇÃO - SENTENÇA,Condenação paga por acordo,Acordo,CONDENAÇÃO - SENTENÇACondenação paga por acordo
CONDENAÇÃO - SENTENÇA,Condenação reduzida em acordão,Condenação,CONDENAÇÃO - SENTENÇACondenação reduzida em acordão
