operacao_original,operacao_reclassificado
FOR/CGH/CGH/FOR,Doméstico
FOR/CGH/CGR,Doméstico
FOR/CGH/CNF,Doméstico
FOR/CGH/CWB,Doméstico
FOR/CGH/FOR,Doméstico
FOR/CGH/NVT,Doméstico
FOR/CWB,Doméstico
FOR/FEN,Doméstico
FOR/GIG,Doméstico
FOR/GIG/CWB,Doméstico
FOR/GIG/EZE/IRJ,Internacional
FOR/GIG/FOR,Doméstico
FOR/GIG/IGU,Doméstico
FOR/GIG/SCL/SCL/GIG/FOR,Internacional
FOR/GIG/VIX,Doméstico
FOR/GRU,Doméstico
FOR/GRU/AMS,Internacional
FOR/GRU/ARU/ARU/GRU/FOR,Doméstico
FOR/GRU/BSB/FOR,Doméstico
FOR/GRU/CGR,Doméstico
FOR/GRU/CWB,Doméstico
FOR/GRU/EZE,Internacional
FOR/GRU/GRU/BSB,Doméstico
FOR/GRU/IGU,Doméstico
FOR/GRU/MGF,Doméstico
FOR/GRU/POA,Doméstico
FOR/GRU/REC,Doméstico
FOR/GRU/SCL,Internacional
FOR/GRU/SCL/SCL/GIG/FOR,Internacional
FOR/GRU/SCL/SCL/GRU/FOR,Internacional
FOR/GRU/XAP,Doméstico
FOR/JDO,Doméstico
FOR/JJD,Doméstico
FOR/MAO,Doméstico
FOR/MAO/BVB,Doméstico
FOR/MAO/MAO/FOR,Doméstico
FOR/MAO/MIA/CUN,Internacional
FOR/MAO/PVH,Doméstico
FOR/MCO/MCO/FOR,Internacional
FOR/MIA,Internacional
FOR/MIA/FOR,Internacional
FOR/MIA/LGA,Internacional
FOR/MIA/MCO/MCO/MIA/FOR,Internacional
FOR/MIA/MIA/FOR,Internacional
FOR/NAT,Doméstico
FOR/POA,Doméstico
FOR/PVH,Doméstico
FOR/REC,Doméstico
FOR/REC/FEN,Doméstico
FOR/REC/REC/FOR,Doméstico
FOR/REC/SSA,Doméstico
FOR/SLZ,Doméstico
FOR/SSA,Doméstico
FOR/SSA/AJU,Doméstico
FOR/SSA/BRA,Doméstico
FOR/SSA/BSB,Doméstico
FOR/SSA/EZE,Internacional
FOR/SSA/FOR,Doméstico
FOR/SSA/SSA/CGH,Doméstico
FOR/SSA/SSA/FOR,Doméstico
FOR/SSA/SSA/VIX,Doméstico
FOR-GIG,Doméstico
FOZ/GRU,Doméstico
FRC/CGH,Doméstico
G3 1894,Outros
G34725/G34774,Outros
GEL/GRU,Doméstico
GIG - AMS / AMS - LIS,Internacional
GIG - GRU - PPB,Doméstico
GIG/AJU,Doméstico
GIG/BOG,Internacional
GIG/BSB,Doméstico
GIG/BSB/REC,Doméstico
GIG/BSB/SJP,Doméstico
GIG/CGH,Doméstico
GIG/CGH/IST/FRU,Internacional
GIG/CGH/LDB,Doméstico
GIG/CNF,Doméstico
GIG/CWB,Doméstico
GIG/FLN,Doméstico
GIG/FOR,Doméstico
GIG/FOR/MAO/PVH,Doméstico
GIG/GRU,Doméstico
GIG/GRU  GRU/JFK  JFK/GIG,Internacional
GIG/GRU/ARU,Doméstico
GIG/GRU/CWB,Doméstico
GIG/GRU/GRU/FLN,Doméstico
GIG/GRU/GRU/MAO,Doméstico
GIG/GRU/GYN,Doméstico
GIG/GRU/MAO,Doméstico
GIG/GRU/NVT,Doméstico
GIG/GRU/PNZ,Doméstico
GIG/GRU/SCL/SCL/GRU/GIG,Internacional
GIG/GRU/SJP,Doméstico
GIG/GRU/SLZ,Doméstico
GIG/GRU/XAP,Doméstico
GIG/GYN,Doméstico
GIG/IGU,Doméstico
GIG/IOS,Doméstico
GIG/JOI,Doméstico
GIG/JPA,Doméstico
GIG/MAO,Doméstico
GIG/MAO/MAO/PVH/SDU/BSB/BSB/PVH,Doméstico
GIG/MIA,Internacional
GIG/MIA/JFK,Internacional
GIG/NAT,Doméstico
GIG/NAT/GRU,Doméstico
GIG/NAT/NAT/GIG,Doméstico
GIG/NVT,Doméstico
GIG/NVT/NVT/GRU/GRU/AMS,Internacional
GIG/POA/GIG,Doméstico
GIG/POA/POA/GIG,Doméstico
GIG/PVH,Doméstico
GIG/REC,Doméstico
GIG/REC/FEN,Doméstico
GIG/REC/REC/FEN,Doméstico
GIG/SSA,Doméstico
GIG/SSA/BPS,Doméstico
GIG/VCP,Doméstico
GIG/VIX,Doméstico
GIGI/MAO,Doméstico
GRU - AEP,Internacional
GRU - CGB,Doméstico
GRU - CWB,Doméstico
GRU - JPA,Doméstico
GRU - SSA,Doméstico
GRU JPA,Doméstico
GRU X AEP / AEP X GRU,Internacional
GRU X CAC,Doméstico
GRU X EZE,Internacional
GRU x MGF,Doméstico
GRU/AEP,Internacional
GRU/AEP/AEP/GRU,Internacional
GRU/AEP/BRC,Internacional
GRU/AEP/USH,Internacional
GRU/AJU,Doméstico
GRU/AJU/AJU/GRU,Doméstico
GRU/AJU/GRU,Doméstico
GRU/AMS,Internacional
GRU/AMS/FCO,Internacional
GRU/AMS/MAN,Internacional
GRU/ARU,Doméstico
GRU/BEL,Doméstico
GRU/BEL/GRU,Doméstico
GRU/BOG,Internacional
GRU/BPS,Doméstico
GRU/BPS/BPS/GRU,Doméstico
GRU/BPS/GRU,Doméstico
GRU/BRC,Internacional
GRU/BRC/BRC/GRU,Internacional
GRU/BSB,Doméstico
GRU/BSB/BSB/GRU,Doméstico
GRU/BSB/BSB/PMW,Doméstico
GRU/BSB/BSB/PVH,Doméstico
GRU/BSB/CKS,Doméstico
GRU/BSB/CUN,Internacional
GRU/BSB/CUN/CUN/BSB/CGH,Internacional
GRU/BSB/FLN/GIG/IOS,Doméstico
GRU/BSB/FOR,Doméstico
GRU/BSB/MAB,Doméstico
GRU/BSB/MAO/STM,Doméstico
GRU/BSB/MCO,Internacional
GRU/BSB/MIA,Internacional
GRU/BSB/PTY/CUN,Internacional
GRU/BSB/PVH,Doméstico
GRU/BSB/SSA,Doméstico
GRU/BSB/THE,Doméstico
GRU/CAC,Doméstico
GRU/CAC/VIX,Doméstico
GRU/CDG/CDG/GRU,Internacional
GRU/CFB,Doméstico
GRU/CGB,Doméstico
GRU/CGB/CGB/GRU,Doméstico
GRU/CGR,Doméstico
GRU/CGR/CGR/CGH,Doméstico
GRU/CLV,Doméstico
GRU/CNF,Doméstico
GRU/CNF/SSA,Doméstico
GRU/COR,Internacional
GRU/CPV,Doméstico
GRU/CPV/CPV/GRU,Doméstico
GRU/CUN,Internacional
GRU/CUN/BSB/VCP,Internacional
GRU/CUN/CUN/BSB,Internacional
GRU/CUN/CUN/GRU,Internacional
GRU/CWB,Doméstico
GRU/CWB/CWB/GRU,Doméstico
GRU/CXJ,Doméstico
GRU/CXJ/GRU,Doméstico
GRU/DOU,Doméstico
GRU/EZE,Internacional
GRU/EZE/BRC,Internacional
GRU/EZE/EZE/GRU,Internacional
GRU/EZE/GRU,Internacional
GRU/FLN,Doméstico
GRU/FLN FLN/GRU,Doméstico
GRU/FLN/FLN/GRU,Doméstico
GRU/FLZ,Internacional
GRU/FOR,Doméstico
GRU/FOR MGF/GRU,Doméstico
GRU/FOR/,Doméstico
GRU/FOR/FOR/GRU,Doméstico
GRU/FOR/FOR/MCO,Internacional
GRU/FOR/GRU,Doméstico
GRU/FOR/LIS,Internacional
GRU/FOR/MCO,Internacional
GRU/FTE,Internacional
GRU/GIG,Doméstico
GRU/GIG/GRU,Doméstico
GRU/GIG/MAO,Doméstico
GRU/GIG/MCZ,Doméstico
GRU/GIG/SDU/GRU,Doméstico
GRU/GIN/BPS,Outros
GRU/GRU,Doméstico
GRU/GYN,Doméstico
GRU/GYN/BSB,Doméstico
GRU/GYN/GRU,Doméstico
GRU/GYN/GYN/GRU,Doméstico
GRU/IGU,Doméstico
GRU/IGU/IGU/GRU,Doméstico
GRU/IOS,Doméstico
GRU/IOS/GRU,Doméstico
GRU/IOS/IOS/GRU,Doméstico
GRU/IZA,Doméstico
GRU/JDN/JDN/GRU,Internacional
GRU/JDO,Doméstico
GRU/JDO/GRU,Doméstico
GRU/JDO/JDO/GRU,Doméstico
GRU/JJC,Outros
GRU/JJD,Doméstico
GRU/JJD/GRU,Doméstico
GRU/JJD/JJD/GRU,Doméstico
GRU/JOI,Doméstico
GRU/JOI/JOI/GRU,Doméstico
GRU/JPA,Doméstico
GRU/JPA/GRU,Doméstico
GRU/JPA/JPA/GRU,Doméstico
GRU/LDB,Doméstico
GRU/LIM,Internacional
GRU/LIM/GRU,Internacional
GRU/LIM/LIM/GRU,Internacional
GRU/MAO,Doméstico
GRU/MAO/MAO/PTY,Internacional
GRU/MAO/MAO/PVH,Doméstico
GRU/MAO/PVH,Doméstico
GRU/MCZ,Doméstico
GRU/MCZ/CGH,Doméstico
GRU/MCZ/GIG/FOR,Doméstico
GRU/MCZ/GRU,Doméstico
GRU/MCZ/MCZ/GRU,Doméstico
GRU/MCZ/MCZ/GRU/IOS/GRU,Doméstico
GRU/MCZ/REC/GRU,Doméstico
GRU/MDZ,Internacional
GRU/MDZ/GRU,Internacional
GRU/MDZ/SCL/GRU,Internacional
GRU/MGF,Doméstico
GRU/MIA,Internacional
GRU/MIA/MCO,Internacional
GRU/MIA/MCO/MIA/GRU,Internacional
GRU/MIA/MIA/GRU,Internacional
GRU/MOC,Doméstico
GRU/MOC/MOC/GRU,Doméstico
GRU/MOZ,Internacional
GRU/MVD,Internacional
GRU/MVD/MVD/GRU,Internacional
GRU/NAT,Doméstico
GRU/NAT/GRU,Doméstico
GRU/NAT/IGU,Doméstico
GRU/NAT/NAT/GRU,Doméstico
GRU/NSN/CZS,Internacional
GRU/NVT,Doméstico
GRU/NVT/CGH,Doméstico
GRU/NVT/GRU,Doméstico
GRU/NVT/NVT/GRU,Doméstico
GRU/NVZ,Outros
GRU/OPS,Doméstico
GRU/PFB,Doméstico
GRU/PMW,Doméstico
GRU/PNZ,Doméstico
GRU/PNZ/PNZ/GRU,Doméstico
GRU/POA,Doméstico
GRU/POA/GRU,Doméstico
GRU/POA/POA/GRU,Doméstico
GRU/POA/SSA,Doméstico
GRU/PPB,Doméstico
GRU/PUJ,Internacional
GRU/PUJ/GRU,Internacional
GRU/PUJ/PUJ/GRU,Internacional
GRU/PVH,Doméstico
GRU/RAO,Doméstico
GRU/RAO/RAO/GRU,Doméstico
GRU/REC,Doméstico
GRU/REC/CGH,Doméstico
GRU/REC/FEN,Doméstico
GRU/REC/FEN/FEN/REC/GRU,Doméstico
GRU/REC/GRU,Doméstico
GRU/REC/REC/CGH/GRU/AEP/AEP/GRU,Internacional
GRU/REC/REC/FEN/FEN/REC/REC/BSB/BSB/VIX,Doméstico
GRU/REC/REC/FEN/FEN/REC/REC/GRU,Doméstico
GRU/REC/REC/GRU,Doméstico
GRU/REC/REC/GRU/BEL/BSB/REC/REC/GIG/BEL,Doméstico
GRU/RVD,Doméstico
GRU/RVD/GRU,Doméstico
GRU/SCL,Internacional
GRU/SCL/GRU,Internacional
GRU/SCL/GRU/EZE,Internacional
GRU/SCL/SCL/GRU,Internacional
GRU/SDU,Doméstico
GRU/SDU/BSB/PMW,Doméstico
GRU/SDU/GRU,Doméstico
GRU/SDU/POA,Doméstico
GRU/SDU/SDU/GRU,Doméstico
GRU/SJP,Doméstico
GRU/SLZ,Doméstico
GRU/SSA,Doméstico
GRU/SSA/POA,Doméstico
GRU/SSA/SSA/CGH,Doméstico
GRU/SSA/SSA/GRU,Doméstico
GRU/THE,Doméstico
GRU/THE/GRU,Doméstico
GRU/THE/THE/GRU,Doméstico
GRU/UDI,Doméstico
GRU/UIO,Internacional
GRU/URG,Doméstico
GRU/VDC,Doméstico
GRU/VDC/GRU,Doméstico
GRU/VIC,Internacional
GRU/VIX,Doméstico
GRU/VVI,Internacional
GRU/XAP,Doméstico
GRU-BSB,Doméstico
GRU-GYN,Doméstico
GRU-MIA,Internacional
GRU-PNZ,Doméstico
GUARULHOS - PORTO ALEGRE,Doméstico
GWB/PUJ,Internacional
GYM/VCP/VCI/CNF,Outros
GYN - BSB,Doméstico
GYN - BSB - FOR,Doméstico
GYN - CGH,Doméstico
GYN - CGH - BPS,Doméstico
GYN - GRU,Doméstico
GYN - GRU - POA,Doméstico
GYN - MCZ,Doméstico
GYN/ GRU,Doméstico
GYN/BRU,Internacional
GYN/BSB,Doméstico
GYN/BSB/BPS/BPS/CGH/GYN,Doméstico
GYN/BSB/BSB/REC/REC/BSB/BSB/GYN,Doméstico
GYN/BSB/FLN/AEP,Internacional
GYN/BSB/FOR,Doméstico
GYN/BSB/FOR/FOR/BSB/GYN,Doméstico
GYN/BSB/MAO,Doméstico
GYN/BSB/MIA,Internacional
GYN/BSB/PMW,Doméstico
GYN/BSB/REC/FEN,Doméstico
GYN/BSB/SDU/SDU/BSB/GYN,Doméstico
GYN/BSB/SDU/SDU/GRU/GYN,Doméstico
GYN/CGH,Doméstico
GYN/CGH GRU/GYN,Doméstico
GYN/CGH/CGH/GYN,Doméstico
GYN/CGH/CWB,Doméstico
GYN/CGH/FLN,Doméstico
GYN/CGH/FLN/FLN/GRU/GYN,Doméstico
GYN/CGH/POA,Doméstico
GYN/CGH/POA/POA/CGH/GYN,Doméstico
GYN/CGH/POA/POA/GRU/POA,Doméstico
GYN/CGH/REC,Doméstico
GYN/CGH/VIX,Doméstico
GYN/FEN,Doméstico
GYN/FLN,Doméstico
GYN/FLN/FLN/GYN,Doméstico
GYN/FOR,Doméstico
GYN/GIG,Doméstico
GYN/GIG/BPS,Doméstico
GYN/GRU,Doméstico
GYN/GRU/AEP,Internacional
GYN/GRU/BPS,Doméstico
GYN/GRU/CAC,Doméstico
GYN/GRU/CAC/CAC/GRU/GYN,Doméstico
GYN/GRU/CFB/CFB/GRU/GYN,Doméstico
GYN/GRU/CGB,Doméstico
GYN/GRU/CWB,Doméstico
GYN/GRU/EZE,Internacional
GYN/GRU/FOR,Doméstico
GYN/GRU/GRU/CNF/GRU/GYN,Doméstico
GYN/GRU/GRU/GYN,Doméstico
GYN/GRU/GRU/IOS,Doméstico
GYN/GRU/GRU/NAT/ NAT/GRU/GRU/GYN,Doméstico
GYN/GRU/IGU,Doméstico
GYN/GRU/JDO,Doméstico
GYN/GRU/MVD,Internacional
GYN/GRU/NAT,Doméstico
GYN/GRU/SSA,Doméstico
GYN/GRU/SSA/SSA/GRU/GYN,Doméstico
GYN/GRU/VVI,Internacional
GYN/IGU,Doméstico
GYN/IOS,Doméstico
GYN/LIS,Internacional
GYN/MCZ,Doméstico
GYN/PMW,Doméstico
GYN/PVH,Doméstico
GYN/SDU,Doméstico
GYN/SDU/SDU/GYN,Doméstico
GYN/SSA,Doméstico
GYN/SSA/BPS/BPS/SSA/GYN,Doméstico
GYN/SSA/GYN,Doméstico
GYN/SSA/REC,Doméstico
GYN/SSA/SSA/GYN,Doméstico
GYN/SSA/SSA/NAT,Doméstico
GYN/SSA/SSA/VIX,Doméstico
GYN/VCP/VCP/SSA,Doméstico
GYN/VIX,Doméstico
IGR/AEP,Internacional
IGU - GRU,Doméstico
IGU - GRU,Doméstico
IGU - GRU - BSB,Doméstico
IGU/BSB,Doméstico
IGU/BSB/MCO/FOR/GIG/IGU,Internacional
IGU/CGH/BPS,Doméstico
IGU/CGH/BPS BPS/GRU/IGU,Doméstico
IGU/CWB,Doméstico
IGU/GIG,Doméstico
IGU/GIG/FOR/NAT,Doméstico
IGU/GIG/GIG/FOR/FOR/BSB/BSB/IGU,Doméstico
IGU/GIG/GIG/IGU,Doméstico
IGU/GIG/GIG/REC,Doméstico
IGU/GIG/IGU,Doméstico
IGU/GRU,Doméstico
IGU/GRU/BPS,Doméstico
IGU/GRU/BSB,Doméstico
IGU/GRU/FLN,Doméstico
IGU/GRU/FOR,Doméstico
IGU/GRU/GRU/BSB,Doméstico
IGU/GRU/GRU/CGB,Doméstico
IGU/GRU/GRU/FOR,Doméstico
IGU/GRU/GRU/JJD/JJD/GRU/GRU/IGU,Doméstico
IGU/GRU/GYN,Doméstico
IGU/GRU/IOS,Doméstico
IGU/GRU/NAT/NAT/GIG/IGU,Doméstico
IGU/GRU/PNZ,Doméstico
IGU/GRU/REC,Doméstico
IGU/GRU/SDU/VIX,Doméstico
IGU/GRU/SSA,Doméstico
IGU/GRU/VIX,Doméstico
IGU/PVH,Doméstico
IGU/SSA,Doméstico
IGU/VIX,Doméstico
Internacional,Internacional
Internacional,Internacional
Internacional,Internacional
Internacional,Internacional
Internacional,Internacional
International,Internacional
IOS - GRU,Doméstico
IOS x GRU,Doméstico
IOS/BSB,Doméstico
IOS/CGB,Doméstico
IOS/CGH,Doméstico
IOS/CGH/CGH/CNF,Doméstico
IOS/GIG,Doméstico
IOS/GRU,Doméstico
IOS/GRU/BSB/RBR,Doméstico
IOS/GRU/CWB,Doméstico
IOS/GRU/FLN,Doméstico
IOS/GRU/GRU/IOS,Doméstico
IOS/GRU/GYN,Doméstico
IOS/GRU/IGU,Doméstico
IOS/GRU/POA,Doméstico
IOS/GRU/SDU,Doméstico
IOS/JOI,Doméstico
IOS/SSA,Doméstico
IOS/SSA/CGH,Doméstico
IOS/SSA/NAT,Doméstico
IOS/SSA/SSA/SDU,Doméstico
ITB/MAO,Doméstico
ITB/MAO/MAO/PVH,Doméstico
IZA/CGH,Doméstico
IZA/CGH/REC,Doméstico
IZA/GRU,Doméstico
IZA/GRU/BSB,Doméstico
IZA/GRU/LDB,Doméstico
IZA/NAT,Doméstico
JDB/GRU,Outros
JDO - FOR,Doméstico
JDO - FOR,Doméstico
JDO - GRU,Doméstico
JDO - GRU - SDU - POA,Doméstico
JDO/FOR,Doméstico
JDO/GRU,Doméstico
JDO/GRU/CWB,Doméstico
JDO/GRU/GIG,Doméstico
JDO/GRU/GRU/JDO,Doméstico
JDO/GRU/GYN/BSB/PVH,Doméstico
JDO/GRU/IGU,Doméstico
JDO/GRU/JDO,Doméstico
JDO/POA,Doméstico
JFK/GRU,Internacional
JFK/MIA/BSB,Internacional
JJD/BSB,Doméstico
JJD/FOR,Doméstico
JJD/GRU,Doméstico
JJD/MGF,Doméstico
JOI X GRU,Doméstico
JOI/BSB/BSB/JOI/CWB/GRU/GRU/BSB/BSB/GRU/GRU/CWB,Doméstico
JOI/CGH,Doméstico
JOI/GRU,Doméstico
JOI/GRU/CNF/SDU,Doméstico
JOI/GRU/MAD,Internacional
JOI/GRU/MCZ,Doméstico
JOI/GRU/SSA,Doméstico
JOI/REC,Doméstico
JOO/FOR/FOR/MAO/MAO/PVH,Doméstico
JPA - BSB - GRU,Doméstico
JPA x GRU/GRU x VIX,Doméstico
JPA/BSB,Doméstico
JPA/BSB  BSB/CNF,Doméstico
JPA/BSB/CGH,Doméstico
JPA/BSB/PVH,Doméstico
JPA/CGH,Doméstico
JPA/GIG,Doméstico
JPA/GRU,Doméstico
JPA/GRU/BSB/PVH,Doméstico
JPA/GRU/CPV,Doméstico
JPA/GRU/GRU/BSB/BSB/PVH,Doméstico
JPA/GYN,Doméstico
JPA/PVH,Doméstico
JPA/SSA,Doméstico
JPA/SSA/SAO,Doméstico
JPA/SSA/SSA/CWB,Doméstico
JPA/SSA/SSA/GIG,Doméstico
JPS/BSB,Doméstico
LDB - GRU,Doméstico
LDB/BPS,Doméstico
LDB/CGH,Doméstico
LDB/CGH/MCZ/BSB,Doméstico
LDB/CGH/SDU,Doméstico
LDB/CGM,Internacional
LDB/GRU,Doméstico
LDB/GRU GRU/REC REC/GRU GRU/MGF,Doméstico
LDB/GRU/BSB,Doméstico
LDB/GRU/CNF,Doméstico
LDB/GRU/GRU/LDB,Doméstico
LDB/GRU/GRU/OPS,Doméstico
LDB/GRU/LDB,Doméstico
LDB/GRU/REC,Doméstico
LDB/GRU/REC/FEN,Doméstico
LDB/GRU/THE/THE/GRU/LDB,Doméstico
LGA/MIA,Internacional
LGA/MIA/BSB/PVH,Internacional
LIS/GRU/MGF,Internacional
LIS/GRU/VIX,Internacional
londrina/garulhos/garulhos/natal,Doméstico
MAB/BSB,Doméstico
MAB/BSB/MCO,Internacional
MAB/BSB/PVH,Doméstico
MAB/MAO,Doméstico
MAB-BVB,Doméstico
MAO - BSB,Doméstico
MAO - BSB,Doméstico
MAO - FOR,Doméstico
MAO - STM,Doméstico
MAO GIG,Doméstico
MAO X PVH,Doméstico
MAO/AEP,Internacional
MAO/BEL,Doméstico
MAO/BEL/BEL/MAO,Doméstico
MAO/BEL/BSB/JPA,Doméstico
MAO/BEL/MAO,Doméstico
MAO/BRU,Internacional
MAO/BSB,Doméstico
MAO/BSB BSB/MAB,Doméstico
MAO/BSB BSB/SDU,Doméstico
MAO/BSB/BSB/MAO,Doméstico
MAO/BSB/BSB/REC/REC/BSB/BSB/MAO,Doméstico
MAO/BSB/BSB/SJP,Doméstico
MAO/BSB/CGH,Doméstico
MAO/BSB/CGH/PPB,Doméstico
MAO/BSB/CGR,Doméstico
MAO/BSB/CNF,Doméstico
MAO/BSB/CWB,Doméstico
MAO/BSB/CWB/CWB/BSB/MAO,Doméstico
MAO/BSB/EZE,Internacional
MAO/BSB/FLN,Doméstico
MAO/BSB/FOR,Doméstico
MAO/BSB/GRU,Doméstico
MAO/BSB/GRU/OPS,Doméstico
MAO/BSB/GRU/POA,Doméstico
MAO/BSB/GRU/REC,Doméstico
MAO/BSB/MAO,Doméstico
MAO/BSB/MCZ,Doméstico
MAO/BSB/MIA/ MIA/BSB/MAO,Internacional
MAO/BSB/MIA/MIA/BSB/MAO,Internacional
MAO/BSB/NAT,Doméstico
MAO/BSB/POA,Doméstico
MAO/BSB/PVH,Doméstico
MAO/BSB/RBR/CZS,Doméstico
MAO/BSB/RBR/RBR/MAO,Doméstico
MAO/BSB/REC,Doméstico
MAO/BSB/REC/RE/GIG/MAO,Doméstico
MAO/BSB/SDU,Doméstico
MAO/BSB/SJP,Doméstico
MAO/BSB/SSA,Doméstico
MAO/BSB/VCP,Doméstico
MAO/BSB/VIX,Doméstico
MAO/CAF,Doméstico
MAO/CGR,Doméstico
MAO/CWB,Doméstico
MAO/ERN,Doméstico
MAO/EZE/AEP/GRU,Internacional
MAO/FOR,Doméstico
MAO/FOR/CGH/BSB/MAO,Doméstico
MAO/FOR/CGH/GYN,Doméstico
MAO/FOR/CGH/POA,Doméstico
MAO/FOR/CGH/SDU,Doméstico
MAO/FOR/FOR/BEL,Doméstico
MAO/FOR/FOR/MAO,Doméstico
MAO/FOR/FOR/REC,Doméstico
MAO/FOR/FOR/SLZ/SLZ/FOR,Doméstico
MAO/FOR/GIG,Doméstico
MAO/FOR/GIG/NAT/NAT/FOR/MAO,Doméstico
MAO/FOR/GRU/NVT,Doméstico
MAO/FOR/MAO,Doméstico
MAO/FOR/REC,Doméstico
MAO/FOR/REC/REC/GRU/MAO,Doméstico
MAO/GIG,Doméstico
MAO/GIG/GIG/MAO,Doméstico
MAO/GIG/MAO/GRU/GRU/SDU,Doméstico
MAO/GRU,Doméstico
MAO/GRU  GRU/SSA,Doméstico
MAO/GRU/AEP,Internacional
MAO/GRU/BEL,Doméstico
MAO/GRU/BPS,Doméstico
MAO/GRU/BSB,Doméstico
MAO/GRU/CGH/BSB/MAO,Doméstico
MAO/GRU/CGH/SDU,Doméstico
MAO/GRU/CWB,Doméstico
MAO/GRU/CXJ,Doméstico
MAO/GRU/EZE,Internacional
MAO/GRU/FLN,Doméstico
MAO/GRU/FOR/REC,Doméstico
MAO/GRU/GIG,Doméstico
MAO/GRU/GIG/GIG/BSB/MAO,Doméstico
MAO/GRU/GRU/BSB/SDU/GRU/GRU/MAO,Doméstico
MAO/GRU/GRU/CGR,Doméstico
MAO/GRU/GRU/GIG/SDU/BSB/BSB/MAO//GRU/GIG/GIG/GRU,Doméstico
MAO/GRU/GRU/MAO,Doméstico
MAO/GRU/GRU/MCZ,Doméstico
MAO/GRU/GRU/REC/REC/BSB/BSB/MAO,Doméstico
MAO/GRU/GRU/UDI/UDI/GRU/GRU/MAO,Doméstico
MAO/GRU/GYN,Doméstico
MAO/GRU/IGU,Doméstico
MAO/GRU/MAO,Doméstico
MAO/GRU/NVT,Doméstico
MAO/GRU/PFB,Doméstico
MAO/GRU/POA,Doméstico
MAO/GRU/PPB,Doméstico
MAO/GRU/REC,Doméstico
MAO/GRU/SLZ,Doméstico
MAO/GRU/SSA,Doméstico
MAO/GRU/THE/GRU/MAO,Doméstico
MAO/GRU/VIX,Doméstico
MAO/GRU/YYZ,Internacional
MAO/GYN,Doméstico
MAO/ITB,Doméstico
MAO/JPA,Doméstico
MAO/MCO,Internacional
MAO/MCO/ MCO/MAO,Internacional
MAO/MCO/MCO/MAO,Internacional
MAO/MCP/BSB/FLN,Doméstico
MAO/MIA,Internacional
MAO/NAT,Doméstico
MAO/PIN/MAO,Doméstico
MAO/POA,Doméstico
MAO/PVH,Doméstico
MAO/PVH/PVH/MAO,Doméstico
MAO/RBR,Doméstico
MAO/RBR/MAO,Doméstico
MAO/RBR/MAO/BSB/BSB/RBR,Doméstico
MAO/RBR/RBR/MAO,Doméstico
MAO/REC,Doméstico
MAO/REC/REC/GRU/MAO,Doméstico
MAO/REC/REC/MAO,Doméstico
MAO/SDU/GIG/MAO,Doméstico
MAO/STM,Doméstico
MAO/STM/MAO,Doméstico
MAO/STM/STM/MAO,Doméstico
MAO/TFF,Doméstico
MAO/VCP/VCP/SDU/SDU/BSB/BSB/MAO,Doméstico
MAOXGRU,Doméstico
MCO/BSB,Internacional
MCO/BSB/BSB/MCO,Internacional
MCO/BSB/CGH,Internacional
MCO/BSB/PVH,Internacional
MCO/BSB/SSA,Internacional
MCO/FOR,Internacional
MCO/FOR/GRU,Internacional
MCO/GRU,Internacional
MCO/MAO,Internacional
MCO/MAO/PVH,Internacional
MCO/MIA,Internacional
MCO-BSB-REC-BSB,Internacional
MCP - BSB - GYN,Doméstico
MCP - BSB - PVH,Doméstico
MCP/BEL,Doméstico
MCP/BEL/BSB/CWB,Doméstico
MCP/BEL/FOR,Doméstico
MCP/BSB,Doméstico
MCP/BSB/CNF,Doméstico
MCP/BSB/FLN,Doméstico
MCP/BSB/GYN,Doméstico
MCP/BSB/PVH,Doméstico
MCZ - CGH,Doméstico
MCZ - CGH - MGF,Doméstico
MCZ - GRU,Doméstico
MCZ/BSB,Doméstico
MCZ/BSB/ BSB/GYN,Doméstico
MCZ/BSB/BSB/MCZ,Doméstico
MCZ/BSB/BSB/PVH,Doméstico
MCZ/BSB/CGH,Doméstico
MCZ/BSB/CGR,Doméstico
MCZ/BSB/FLN,Doméstico
MCZ/BSB/GYN,Doméstico
MCZ/BSB/MAO,Doméstico
MCZ/BSB/PVH,Doméstico
MCZ/BSB/RBR,Doméstico
MCZ/BSB/SJP,Doméstico
MCZ/BSB/UCP,Outros
MCZ/CGH,Doméstico
MCZ/CGH/FLN,Doméstico
MCZ/CGH/NVT,Doméstico
MCZ/CGH/POA,Doméstico
MCZ/CNF,Doméstico
MCZ/CWB,Doméstico
MCZ/GIG,Doméstico
MCZ/GIG/GRU,Doméstico
MCZ/GRU,Doméstico
MCZ/GRU/AÇU,Doméstico
MCZ/GRU/ARU,Doméstico
MCZ/GRU/BSB/PVH,Doméstico
MCZ/GRU/CAC,Doméstico
MCZ/GRU/CGR,Doméstico
MCZ/GRU/GRU/BSB/BSB/PVH,Doméstico
MCZ/GRU/GRU/CWB,Doméstico
MCZ/GRU/GYN,Doméstico
MCZ/GRU/SJP,Doméstico
MCZ/GRU/XAP,Doméstico
MCZ/GYN,Doméstico
MCZ/MGF,Doméstico
MCZ/PVH,Doméstico
MCZ/RBR,Doméstico
MCZ/SSA,Doméstico
MCZ/SSA/CWB,Doméstico
MCZ/SSA/SSA/BSB/BSB/PVH,Doméstico
MCZ/SSA/SSA/CWB,Doméstico
MCZ-GRU,Doméstico
MDF/GRU,Internacional
MDZ/GRU,Internacional
MGF - GRU - NAT / NAT - GRU - MGF,Doméstico
