operacao_original,operacao_reclassificado
BSB/IOS/IOS/BSB,Doméstico
BSB/JJD,Doméstico
BSB/JJD/JJD/BSB,Doméstico
BSB/JPA,Doméstico
BSB/JPA/JPA/BSB,Doméstico
BSB/MAB,Doméstico
BSB/MAO,Doméstico
BSB/MAO/MCO/MCO/MAO/BSB,Internacional
BSB/MAO/PVH,Doméstico
BSB/MCO,Internacional
BSB/MCO/BSB,Internacional
BSB/MCO/MCO/BSB,Internacional
BSB/MCP,Doméstico
BSB/MCZ,Doméstico
BSB/MCZ/BSB,Doméstico
BSB/MCZ/BSBS,Doméstico
BSB/MCZ/MCZ/BSB,Doméstico
BSB/MIA,Internacional
BSB/MIA/BSB,Internacional
BSB/NAT,Doméstico
BSB/NAT/BSB,Doméstico
BSB/NVT/NVT/BSB,Doméstico
BSB/PMW,Doméstico
BSB/PMW/AEP/GRU,Internacional
BSB/POA,Doméstico
BSB/POA/POA/BSB,Doméstico
BSB/PVH,Doméstico
BSB/PWM,Internacional
BSB/RAO,Doméstico
BSB/RBR,Doméstico
BSB/REC,Doméstico
BSB/REC/FEN/REC/GRU/BSB,Doméstico
BSB/REC/REC/BSB,Doméstico
BSB/REC/SCL/SCL/GRU/BSB,Internacional
BSB/RIO/BSB,Doméstico
BSB/SCL,Internacional
BSB/SDU,Doméstico
BSB/SDU/GRU,Doméstico
BSB/SDU/SDU/BSB,Doméstico
BSB/SDU/SDU/BSB/SDU/BSB/BSB/PMW,Doméstico
BSB/SDU/SDU/CGH/BSB,Doméstico
BSB/SDU/VIX,Doméstico
BSB/SDU/VIX/VIX/GRU/BSB,Doméstico
BSB/SJP,Doméstico
BSB/SLZ,Doméstico
BSB/SLZ/GRU/CAC,Doméstico
BSB/SLZ/SLZ/BSB,Doméstico
BSB/SSA,Doméstico
BSB/SSA/BPS,Doméstico
BSB/SSA/BRA,Doméstico
BSB/SSA/BSB/SSA,Doméstico
BSB/SSA/JPA,Doméstico
BSB/SSA/MCZ,Doméstico
BSB/SSA/SSA/BSB,Doméstico
BSB/SSA/SSA/IOS/BSB/GRU/GRU/IOS,Doméstico
BSB/SSA/SSA/PMW,Doméstico
BSB/STM/BSB,Doméstico
BSB/THE,Doméstico
BSB/THE THE/BSB,Doméstico
BSB/THE/THE/BSB,Doméstico
BSB/UDI,Doméstico
BSB/VCP,Doméstico
BSB/VIX,Doméstico
BSB/XAP,Doméstico
BSBXSSA,Doméstico
BSP/GRU/GRU/NVT,Doméstico
BVB/BSB,Doméstico
BVB/BSB/BSB/CGB,Doméstico
BVB/BSB/FOR,Doméstico
BVB/BSB/GRU/CPV,Doméstico
BVB/BSB/GRU/PNZ,Doméstico
BVB/BSB/PVH,Doméstico
BVB/BSB/REC,Doméstico
BVB/MAO,Doméstico
BVB/MAO/PVH/BSB/GYN,Doméstico
BYO/CGH,Doméstico
CAC - IOS,Doméstico
CAC/ GRU,Doméstico
CAC/GREU/MCZ/GRU/CAC,Doméstico
CAC/GRU,Doméstico
CAC/GRU  GRU/MCZ,Doméstico
CAC/GRU SDU,Doméstico
CAC/GRU/,Doméstico
CAC/GRU/BPS,Doméstico
CAC/GRU/BPS/SSA/SSA/GRU/CAC,Doméstico
CAC/GRU/BSB/REC,Doméstico
CAC/GRU/CGB,Doméstico
CAC/GRU/GRU/CAC,Doméstico
CAC/GRU/GRU/FOR/FOR/GRU/GRU/CAC,Doméstico
CAC/GRU/GRU/MCZ,Doméstico
CAC/GRU/GRU/REC/REC/GRU/GRU/CAC,Doméstico
CAC/GRU/GRU/SDU,Doméstico
CAC/GRU/IOS,Doméstico
CAC/GRU/MCZ,Doméstico
CAC/GRU/NAT/NAT/GRU/CAC,Doméstico
CAC/GRU/POA/POA/GRU/CAC,Doméstico
CAC/GRU/PUJ,Internacional
CAC/GRU/REC,Doméstico
CAC/GRU/REC/REC/GRU/CAC,Doméstico
CAC/GRU/SDU/SDU/GRU/CAC,Doméstico
CAC/GRU/VIX,Doméstico
CAC/MCZ/MCZ/CAC,Doméstico
CAC/RBR,Doméstico
CAC/VCP,Doméstico
CAF/MAO,Doméstico
CAG/GRU/CGB,Internacional
CASCAVEL - GUARULHOS - NATAL,Doméstico
CBF/GRU,Internacional
CDG/GRU,Internacional
CDG/VCE,Internacional
CFB/GRU,Doméstico
CFB/GRU/BSB,Doméstico
CGB/ GRU,Doméstico
CGB/BSB,Doméstico
CGB/BSB/GYN,Doméstico
CGB/BSB/MCZ,Doméstico
CGB/BSB/MIA/MIA/BSB/CGB,Internacional
CGB/BSB/RBR,Doméstico
CGB/BSB/SDU/SDU/GRU/CGB,Doméstico
CGB/BSB/VCP,Doméstico
CGB/CGH,Doméstico
CGB/FLN,Doméstico
CGB/GIG,Doméstico
CGB/GRU,Doméstico
CGB/GRU/BSB,Doméstico
CGB/GRU/GRU/UDI,Doméstico
CGB/GRU/JDO,Doméstico
CGB/GRU/JJD,Doméstico
CGB/GRU/MGF,Doméstico
CGB/GRU/POA/POA/GRU/CGB,Doméstico
CGB/GRU/REC,Doméstico
CGB/GRU/SJP,Doméstico
CGB/GYN,Doméstico
CGB/JJD,Doméstico
CGB/MAO,Doméstico
CGB/SSA,Doméstico
CGH - AJU,Doméstico
CGH - FOR,Doméstico
CGH - GYN,Doméstico
CGH - REC,Doméstico
CGH - REC,Doméstico
CGH - SSA,Doméstico
CGH - SSA,Doméstico
CGH/ BSB,Doméstico
CGH/ BSB/BSB/BRA,Doméstico
CGH/AJU,Doméstico
CGH/AJU/AJU/CGH,Doméstico
CGH/AJU/CGH,Doméstico
CGH/BPS,Doméstico
CGH/BSB,Doméstico
CGH/BSB/BRA,Doméstico
CGH/BSB/BRA/BRA/SSA,Doméstico
CGH/BSB/BSB/AUX,Doméstico
CGH/BSB/BSB/CGH,Doméstico
CGH/BSB/CGR,Doméstico
CGH/BSB/CUN,Internacional
CGH/BSB/CUN/CUN/BSB/GRU,Internacional
CGH/BSB/MAB,Doméstico
CGH/BSB/MCO,Internacional
CGH/BSB/MCO/MCO/BSB/CGH,Internacional
CGH/BSB/MCO/MCO/MAO/GRU,Internacional
CGH/BSB/MIA/MIA/BSB/CGH,Internacional
CGH/BSB/PVH,Doméstico
CGH/BSB/THE,Doméstico
CGH/BYO,Doméstico
CGH/CGR,Doméstico
CGH/CLV,Doméstico
CGH/CNF,Doméstico
CGH/CNF/CNF/CGH,Doméstico
CGH/CWB,Doméstico
CGH/CXJ,Doméstico
CGH/FLN,Doméstico
CGH/FLN FLN/CGH,Doméstico
CGH/FLN/CGH,Doméstico
CGH/FOR,Doméstico
CGH/FOR/FOR/CGH,Doméstico
CGH/FOR/GRU,Doméstico
CGH/FOR/MAO,Doméstico
CGH/FOR/MAO/PVH,Doméstico
